CurricularUnitID,StudentID,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations)
52,52,0,8,10,6,11.83,0,0,8,10,6,11.83,0
53,53,0,6,11,4,14,0,0,6,12,3,11,0
54,54,0,5,7,5,14.71,0,0,5,5,5,15.80,0
55,55,0,5,12,5,10.60,0,0,5,10,5,11,0
56,56,0,7,9,7,13.04,0,0,8,10,8,13.60,0
57,57,0,6,10,0,0,0,0,6,6,0,0,0
58,58,0,6,9,5,13,0,5,11,13,10,12.90,0
59,59,0,8,8,8,14.94,0,0,8,8,8,14.94,0
60,60,0,0,0,0,0,0,0,0,0,0,0,0
61,61,0,7,8,6,13.13,0,0,8,12,7,12.22,0
62,62,3,6,7,6,12,0,2,6,7,6,12,0
63,63,0,0,0,0,0,0,0,0,0,0,0,0
64,64,0,6,6,5,11.40,0,0,6,8,1,10,0
65,65,0,6,6,0,0,0,0,6,6,0,0,0
66,66,2,7,10,5,11.90,0,1,8,10,5,11,0
67,67,0,0,0,0,0,0,0,0,0,0,0,0
68,68,0,6,8,6,12.57,0,0,6,7,6,12.43,0
69,69,0,5,8,5,11.20,0,0,5,10,4,10.75,3
70,70,0,6,7,6,12,0,0,6,8,5,10.80,0
71,71,0,5,9,0,0,0,0,5,5,0,0,0
72,72,0,7,8,7,11.98,0,0,8,8,8,13.75,0
73,73,0,0,0,0,0,0,0,0,0,0,0,0
74,74,0,6,12,3,11.67,0,0,6,12,1,12,0
75,75,0,6,8,6,12.33,0,0,6,11,3,12.33,0
76,76,0,5,8,3,10.33,0,0,5,11,3,10.86,0
77,77,0,6,8,4,10.50,0,0,6,11,1,11,0
78,78,0,6,6,6,13.67,0,0,6,6,6,13.33,0
79,79,0,7,7,7,14.84,0,0,8,9,8,15.06,0
80,80,0,6,8,6,12,0,0,6,6,6,11.67,0
81,81,0,6,8,5,12.20,0,0,6,7,5,12.20,0
82,82,0,1,1,0,0,1,0,5,0,0,0,0
83,83,6,12,17,6,12.17,0,7,12,14,10,13.30,0
84,84,0,5,6,5,12,0,0,5,8,3,11.33,0
85,85,0,6,7,6,11,0,0,6,11,5,11,0
86,86,0,8,8,7,13.08,0,0,8,8,7,13.08,0
87,87,0,5,7,4,10.50,0,0,5,7,5,11.60,0
88,88,0,6,9,6,10.67,1,0,6,6,5,11.20,0
89,89,0,5,6,4,14,0,0,5,5,5,13.80,0
90,90,0,5,9,2,10,0,0,5,9,0,0,0
91,91,0,7,18,0,0,0,0,7,7,0,0,0
92,92,0,6,6,6,14,0,0,6,6,6,13.50,0
93,93,0,6,7,2,12,1,0,6,6,0,0,0
94,94,0,6,12,3,12.67,0,0,6,14,0,0,1
95,95,2,8,11,8,11.88,0,0,6,7,6,12.33,0
96,96,0,5,9,5,14,0,0,5,11,3,13.25,0
97,97,0,6,6,6,13.67,0,0,6,6,6,13.33,0
98,98,0,7,7,7,13.75,0,0,8,9,8,14.48,0
99,99,0,5,7,5,14.20,2,0,5,7,5,13.80,0
100,100,0,7,10,4,11.96,0,0,7,7,0,0,0
101,101,7,10,12,8,12.88,0,4,9,14,5,13.40,0
102,102,0,0,0,0,0,0,0,0,0,0,0,0
103,103,0,6,0,0,0,0,0,6,0,0,0,0
104,104,13,18,19,18,14.63,0,10,13,14,13,14.23,1
105,105,0,6,0,0,0,0,0,6,0,0,0,0
106,106,4,10,12,10,13,0,5,11,11,11,12.27,0
107,107,0,6,0,0,0,0,0,6,0,0,0,0
108,108,0,6,15,4,14.20,0,0,6,17,4,13.25,0
109,109,2,7,9,6,13.27,0,0,7,10,5,12.30,0
110,110,0,7,12,6,11.67,0,0,7,10,3,13,0
111,111,0,6,8,6,13.86,0,0,6,6,6,15,0
112,112,0,5,9,3,13,0,0,5,11,3,11,0
113,113,0,5,6,5,13.40,0,0,5,5,5,12.80,0
114,114,0,6,6,6,12.67,0,0,6,7,6,12.57,0
115,115,0,7,7,6,12.52,1,0,7,7,6,12.52,1
116,116,0,7,11,6,11.62,0,0,7,7,7,13,0
117,117,0,6,13,2,10,0,0,6,12,4,10.75,0
118,118,0,5,11,3,10.33,0,0,5,10,3,10.67,0
119,119,0,5,12,5,13.14,2,0,5,6,5,11.40,0
120,120,0,5,5,5,12.60,0,0,5,5,5,14,0
121,121,0,6,12,3,11,0,0,6,12,2,11,0
122,122,0,5,8,5,10.80,0,0,5,9,4,11.25,2
123,123,0,0,0,0,0,0,0,0,0,0,0,0
124,124,0,5,5,5,12.80,0,0,5,5,5,14.20,0
125,125,0,6,15,6,14.17,0,0,6,13,6,12.20,0
126,126,0,7,12,5,12.10,0,0,7,0,0,0,0
127,127,1,6,7,6,14.17,0,1,6,17,5,13.78,0
128,128,0,6,8,5,12.80,0,0,6,7,5,13.40,0
129,129,0,6,7,6,13,0,0,6,6,6,13.67,0
130,130,0,7,7,7,13.47,0,0,8,9,8,15.01,0
131,131,0,7,9,7,13.24,0,0,8,9,7,13.74,0
132,132,0,6,6,6,12.33,0,0,6,6,6,13,0
133,133,0,5,7,5,12.40,0,0,5,5,5,14.60,0
134,134,0,7,8,5,14,0,0,7,7,0,0,0
135,135,5,9,15,9,11.67,0,2,7,8,7,11.71,0
136,136,0,6,7,5,12,0,0,6,9,4,12.50,0
137,137,0,5,7,4,12.20,0,0,5,5,4,11.50,0
138,138,0,6,6,6,14.83,0,0,6,6,6,14.83,0
139,139,0,7,9,5,13.19,0,0,8,9,7,12.89,0
140,140,0,7,8,7,17.13,0,0,8,8,8,17.59,0
141,141,0,7,7,6,12.67,0,0,7,7,6,12.67,0
142,142,0,6,8,6,12.67,0,0,6,10,5,12,0
143,143,0,5,8,0,0,0,0,5,7,0,0,0
144,144,0,6,7,6,11.33,0,0,6,6,6,11.50,0
145,145,0,7,10,7,13.61,0,0,8,11,8,12.33,0
146,146,0,6,10,5,12,0,0,6,9,5,10.80,0
147,147,0,5,10,0,0,0,0,5,10,0,0,0
148,148,0,6,8,5,11.20,0,0,6,12,3,11.67,0
149,149,0,5,10,5,13.38,0,0,5,9,5,14.17,0
150,150,0,7,8,6,13.86,0,0,8,9,7,14.18,0
151,151,0,0,0,0,0,0,0,0,0,0,0,0
152,152,0,5,6,5,12.40,0,0,5,6,5,13.40,0
153,153,0,6,11,3,12.33,0,0,6,10,5,10.83,0
154,154,0,6,7,6,13.33,0,0,6,8,5,11.80,0
155,155,0,6,10,3,12.67,0,0,6,12,3,10,0
156,156,0,6,8,6,12,0,0,6,10,4,11.50,0
157,157,0,5,5,5,10.60,0,0,5,5,5,11.80,0
158,158,0,6,8,6,12.25,0,0,6,7,6,11.86,0
159,159,0,6,10,4,11,0,0,6,9,6,11.83,0
160,160,0,6,11,5,11,0,0,6,9,5,12.60,0
161,161,0,6,6,6,13.17,0,0,6,9,6,13,0
162,162,0,7,9,7,12.86,0,0,8,12,7,12.76,0
163,163,0,7,8,7,14.92,0,0,8,8,8,15.36,0
164,164,0,6,13,4,11.50,0,0,6,10,3,11,0
165,165,0,5,5,5,14.20,0,0,5,5,5,14.20,0
166,166,0,6,6,6,12.50,0,0,6,7,6,13,0
167,167,0,1,1,0,0,0,0,6,0,0,0,0
168,168,0,6,10,5,11.67,0,0,6,12,4,11,0
169,169,1,8,8,7,14.26,0,1,8,8,7,14.26,0
170,170,0,6,13,3,12,0,0,6,12,2,11.33,0
171,171,0,5,13,4,11.25,1,0,5,11,4,10.50,0
172,172,0,7,8,7,12.46,0,0,8,8,8,13.56,0
173,173,0,7,7,6,11.68,0,0,7,7,6,11.68,0
174,174,0,6,10,3,11.67,0,0,6,8,5,12,0
175,175,0,6,8,4,11.75,0,0,6,6,6,13.17,0
176,176,0,5,6,3,11.67,0,0,5,6,4,13.50,0
177,177,0,6,9,5,13.20,0,0,6,10,5,12,0
178,178,0,7,8,4,11.95,0,0,7,8,4,11.95,0
179,179,0,6,8,5,12.40,0,0,6,12,5,10.40,0
180,180,2,7,8,6,14.35,0,3,8,10,6,14.58,0
181,181,19,21,21,21,12.62,0,13,19,19,19,12.79,0
182,182,2,6,7,6,12.67,0,2,6,7,6,13.17,1
183,183,0,6,6,5,12,0,0,6,6,0,0,0
184,184,0,6,6,6,12.17,0,0,6,6,0,0,0
185,185,0,6,0,0,0,0,0,6,0,0,0,0
186,186,0,5,9,3,10,0,0,5,9,3,10.57,0
187,187,5,10,18,8,11.50,0,0,6,12,4,10,0
188,188,0,7,7,6,13.05,0,0,7,7,6,13.05,0
189,189,0,6,10,2,11,0,0,6,6,0,0,0
190,190,0,6,7,6,11.50,0,0,6,6,6,12,0
191,191,0,6,7,6,12,0,0,6,6,6,12.50,0
192,192,0,6,13,2,10,0,0,5,12,1,10,0
193,193,0,5,5,0,0,0,0,5,5,0,0,0
194,194,0,6,0,0,0,0,0,6,0,0,0,0
195,195,0,8,8,7,12.24,0,0,8,8,7,12.24,0
196,196,0,5,0,0,0,0,0,5,0,0,0,0
197,197,0,8,8,8,12.93,0,0,8,8,8,12.93,0
198,198,0,5,0,0,0,0,0,5,0,0,0,0
199,199,0,7,9,7,12.57,0,0,7,8,7,14.43,0
200,200,0,3,4,3,11.82,0,0,3,3,3,11.33,0
201,201,0,5,9,4,13.75,0,0,5,13,4,14.33,2
202,202,0,6,8,6,11.17,0,0,6,6,6,11.33,0
203,203,0,8,8,7,12.32,0,0,8,8,7,12.32,0
204,204,3,6,6,6,12.17,0,2,6,7,6,11.71,0
205,205,0,6,11,5,11.14,0,0,6,11,4,11.25,0
206,206,0,6,9,4,11,0,0,6,9,4,10.75,0
207,207,0,8,8,7,12.91,0,0,8,8,7,12.91,0
208,208,0,6,6,6,13.83,0,0,6,6,6,14.17,0
209,209,0,6,8,6,13.86,0,0,6,9,5,13.40,0
210,210,0,6,7,6,13.71,0,0,6,6,5,12.80,0
211,211,0,8,8,7,12.64,0,0,8,8,7,12.64,0
212,212,0,7,7,6,12.92,0,0,7,7,6,12.92,0
213,213,0,6,8,6,15.63,0,0,6,8,6,15.86,0
214,214,0,5,7,0,0,0,0,5,8,0,0,0
215,215,0,6,8,6,11.71,0,0,6,7,6,12,0
216,216,0,7,10,6,12.13,0,0,8,9,8,13.31,0
217,217,0,5,7,5,11.60,0,0,5,5,5,11.60,0
218,218,0,6,11,1,10,0,0,6,6,0,0,6
219,219,0,6,16,1,10,0,0,6,13,0,0,0
220,220,0,5,10,0,0,1,0,5,9,2,13.50,0
221,221,0,5,7,4,13,0,0,5,8,3,12.33,0
222,222,0,6,6,6,13.33,0,0,6,6,6,14.50,0
223,223,0,6,9,4,11.25,0,0,6,13,2,12.50,0
224,224,0,7,9,5,13.85,0,0,8,9,7,12.19,0
225,225,0,7,8,6,13.74,0,0,8,9,7,14.91,0
226,226,2,6,7,6,15.33,0,0,5,5,5,15.80,0
227,227,0,5,6,5,11,0,0,5,5,5,13.80,0
228,228,0,6,6,6,12,0,0,6,7,6,12.86,0
229,229,0,5,5,0,0,0,0,5,5,0,0,0
230,230,0,8,15,7,11.57,0,0,8,15,7,11.57,0
231,231,0,6,10,6,12.86,0,0,6,6,3,12.67,0
232,232,0,6,0,0,0,0,0,6,0,0,0,0
233,233,0,5,5,5,13,0,0,5,5,5,13.20,0
234,234,0,6,9,5,11,0,0,6,8,5,12,0
235,235,0,5,12,3,12,0,0,5,12,1,15,3
236,236,0,6,6,5,12.60,0,0,6,6,6,13,0
237,237,0,6,8,5,13.40,0,0,6,7,6,13.17,0
238,238,0,6,9,6,11.33,0,0,6,9,6,11.57,0
239,239,0,5,14,4,13.50,2,0,5,10,4,14.25,0
240,240,2,6,11,3,11.75,0,1,6,14,3,10.33,0
241,241,0,7,10,6,12.47,0,0,7,8,7,11.46,0
242,242,11,17,19,11,12.91,0,9,13,15,9,13.56,0
243,243,0,5,5,5,11.60,0,0,5,5,5,13.60,0
244,244,0,5,5,0,0,0,0,5,9,0,0,0
245,245,5,10,13,9,12.90,0,4,10,12,10,12.36,0
246,246,0,8,8,8,13.22,0,0,8,8,8,13.22,0
247,247,0,8,8,7,13.15,0,0,8,8,7,13.15,0
248,248,0,6,13,3,12.75,0,0,6,8,3,11.33,0
249,249,0,6,8,6,11.33,0,0,6,8,4,12.25,0
250,250,0,6,10,6,13.25,0,0,6,13,5,14.14,0
251,251,0,6,7,5,12.40,0,0,6,6,5,12.40,0
252,252,0,6,6,6,15,0,0,6,6,6,12.83,0
253,253,0,5,6,5,14.40,0,0,5,6,5,13,0
254,254,0,6,12,1,11,0,0,6,12,0,0,0
255,255,0,5,8,5,12.40,0,0,5,6,5,10.80,0
256,256,0,7,13,1,16,0,0,7,12,0,0,0
257,257,0,5,10,5,13.57,0,0,5,14,5,12.33,3
258,258,0,6,6,6,11.83,0,0,6,6,6,12.50,0
259,259,0,6,8,5,11.67,0,0,6,9,5,12.67,0
260,260,6,10,16,6,11.83,0,2,7,8,2,13,0
261,261,0,6,8,6,11.17,0,0,6,10,5,10.60,0
262,262,0,6,0,0,0,0,0,6,0,0,0,0
263,263,8,12,17,8,11.75,0,6,12,19,6,12.17,2
264,264,0,6,7,6,14,0,0,6,7,6,14,0
265,265,0,6,6,6,12.83,0,0,6,6,6,12,0
266,266,0,6,11,4,12.25,0,0,6,10,3,11.67,0
267,267,0,8,8,7,14.83,0,0,8,8,7,14.83,0
268,268,0,6,7,5,11.40,0,0,6,8,5,12.80,0
269,269,0,6,6,6,13,0,0,6,8,6,12.50,0
270,270,0,8,8,7,13.67,0,0,8,8,7,13.67,0
271,271,0,6,9,6,12.67,0,0,6,8,5,12.80,0
272,272,0,5,10,2,10,0,0,5,12,1,13,0
273,273,0,5,10,5,13.50,0,0,5,8,5,12.33,0
274,274,2,7,8,7,12.67,0,1,8,8,8,13.55,0
275,275,0,6,8,6,14.50,0,0,6,7,6,15.43,0
276,276,0,7,7,7,13.69,0,0,8,8,8,15.39,0
277,277,0,6,8,5,11,0,0,6,10,3,10.67,0
278,278,7,9,16,7,11.56,4,5,7,12,5,13.20,2
279,279,0,7,7,7,13.80,0,0,8,8,8,13.78,0
280,280,0,7,8,7,14,0,0,8,11,7,13.81,0
281,281,0,5,8,4,12,0,0,5,8,4,11.40,2
282,282,0,6,9,5,14.17,0,0,6,7,6,14.17,0
283,283,1,5,5,5,14,0,0,5,5,5,13.80,0
284,284,0,6,7,5,13.80,0,0,6,6,6,12.83,0
285,285,0,6,8,5,12.80,0,0,6,10,6,11.86,0
286,286,0,6,6,6,12.17,0,0,6,6,6,13.83,0
287,287,0,6,8,6,12.50,0,0,6,6,6,12.33,0
288,288,0,6,9,4,12,0,0,6,12,4,11.50,0
289,289,0,6,8,6,10.83,0,0,6,9,6,11.50,0
290,290,0,8,8,8,13.39,0,0,8,8,8,13.39,0
291,291,0,6,14,6,15.67,0,0,6,9,6,14.50,0
292,292,0,6,9,6,14.33,0,0,6,7,6,13.83,0
293,293,0,6,10,6,11.43,0,0,6,12,5,13,0
294,294,0,6,9,6,11.67,0,0,6,8,6,11.67,0
295,295,0,6,9,5,12,0,0,6,10,2,11.33,0
296,296,0,8,8,7,14.73,0,0,8,8,7,14.73,0
297,297,0,6,6,6,14.17,0,0,6,6,6,13.67,0
298,298,0,6,10,6,11.57,0,0,6,8,6,12.33,0
299,299,0,7,7,7,12.50,0,0,8,8,8,13.14,0
300,300,0,8,10,8,12.86,2,0,8,10,8,12.86,2
301,301,0,6,10,6,12.25,0,0,6,9,6,13.71,0
302,302,0,5,7,4,12,0,0,5,5,5,12.20,0
303,303,0,7,9,7,15.12,0,0,8,9,8,16.17,0
304,304,0,5,6,2,12.50,0,0,5,6,4,10.25,0
305,305,0,6,11,0,0,0,0,6,0,0,0,0
306,306,0,6,8,4,11,0,0,6,9,4,11,0
307,307,0,6,8,6,11.88,0,0,6,11,4,14.60,0
308,308,1,5,6,1,11,0,0,5,5,0,0,0
309,309,0,5,5,5,15.20,0,0,5,6,5,13.20,0
310,310,2,6,7,5,11.60,0,1,6,12,2,11,0
311,311,0,6,6,6,14.83,0,0,6,7,6,15.14,0
312,312,0,6,12,3,11.33,0,0,6,10,3,11.33,0
313,313,0,5,5,5,11.20,0,0,5,5,5,11.80,0
314,314,0,6,8,5,13.40,0,0,6,9,5,13.67,0
315,315,0,5,12,2,10.50,0,0,5,5,0,0,0
316,316,0,5,5,5,16.20,0,0,5,5,5,16.40,0
317,317,0,7,7,7,14.54,0,0,8,11,8,14.88,0
318,318,0,7,7,7,13.69,0,0,8,9,8,14.36,0
319,319,0,6,8,6,11.29,0,0,6,10,6,11.86,0
320,320,0,7,11,6,11.76,0,0,8,12,6,13.08,0
321,321,0,3,3,0,0,0,0,6,0,0,0,0
322,322,0,8,8,7,13.06,0,0,8,8,7,13.06,0
323,323,0,7,7,7,14.30,0,0,8,9,8,14.06,0
324,324,3,10,15,5,11.80,0,4,10,14,8,12,0
325,325,0,5,9,3,10.33,1,0,5,8,3,13,0
326,326,0,6,7,6,10.57,0,0,6,11,3,11.67,0
327,327,0,7,7,6,13.33,0,0,7,7,6,13.33,0
328,328,0,6,10,6,11.86,0,0,6,9,5,11,0
329,329,0,6,9,5,12.60,0,0,6,8,5,11.40,0
330,330,0,5,11,5,14,3,0,5,7,5,11.60,0
331,331,0,7,12,5,12,0,0,7,9,6,12.67,0
332,332,0,5,6,0,0,0,0,5,5,0,0,0
333,333,0,6,7,6,12,0,0,6,7,6,13,0
334,334,0,6,6,6,12.67,0,0,6,6,6,11.67,0
335,335,0,6,6,6,12.17,0,0,6,9,6,13.67,0
336,336,3,6,6,6,13.33,0,2,6,6,6,14.67,0
337,337,0,7,8,7,15,0,0,7,7,7,14.57,0
338,338,0,8,8,8,13.39,0,0,8,8,8,13.39,0
339,339,0,6,9,5,12.17,0,0,6,8,6,12.43,0
340,340,0,5,9,4,11.25,0,0,5,6,4,12.50,0
341,341,0,5,13,4,12,2,0,5,8,3,12,0
342,342,0,0,0,0,0,0,0,0,0,0,0,0
343,343,0,6,7,6,12.83,0,0,6,8,6,12.86,0
344,344,0,6,10,6,14,0,0,6,11,6,13.10,0
345,345,3,5,5,4,13,0,1,5,7,2,12,0
346,346,0,6,7,6,13.50,0,0,6,8,6,12.50,0
347,347,10,16,24,13,10.69,1,9,13,19,9,12.31,0
348,348,0,5,6,5,11,0,0,5,9,5,11.67,0
349,349,0,6,8,6,13,0,0,6,6,6,13.83,0
350,350,0,6,10,5,12,0,0,6,9,4,11.25,0
351,351,0,6,9,4,12.60,0,0,6,6,4,11.50,0
352,352,0,6,6,6,13.67,0,0,6,6,6,13.33,0
353,353,0,0,0,0,0,0,0,0,0,0,0,0
354,354,0,7,7,6,14.20,0,0,7,7,6,14.20,0
355,355,0,6,10,5,11,0,0,6,12,0,0,0
356,356,0,6,7,6,15,0,0,6,7,6,16.43,0
357,357,0,7,9,6,12.59,0,0,8,9,7,13.44,0
358,358,0,5,0,0,0,0,0,5,0,0,0,0
359,359,0,6,6,0,0,0,0,6,6,0,0,0
360,360,0,6,0,0,0,0,0,6,0,0,0,0
361,361,0,6,7,6,11.67,0,0,6,10,6,11.83,0
362,362,0,6,13,3,12.67,0,0,6,12,2,10,0
363,363,0,5,10,3,10.33,0,0,5,9,4,11,2
364,364,7,11,18,8,13.50,0,4,9,16,7,13.71,0
365,365,0,7,8,5,13.98,0,0,7,8,5,13.98,0
366,366,0,6,13,6,16.15,0,0,6,10,6,15.75,0
367,367,0,7,7,6,14.03,0,0,7,7,6,14.03,0
368,368,0,5,8,1,11,0,0,5,6,5,11.20,0
369,369,0,7,8,7,13.86,0,0,7,8,6,13.67,0
370,370,0,8,8,7,13.41,0,0,8,8,7,13.41,0
371,371,7,11,11,11,13.55,0,3,7,7,7,13.57,0
372,372,0,5,11,4,11.25,0,0,5,10,4,10.83,0
373,373,0,6,6,6,13.83,0,0,6,7,6,14.43,0
374,374,0,5,8,5,12,0,0,5,9,5,12.86,0
375,375,0,6,0,0,0,0,0,6,0,0,0,0
376,376,5,11,14,10,11.90,0,5,11,14,10,12.80,0
377,377,0,5,5,0,0,0,0,5,0,0,0,0
378,378,0,7,7,7,15.14,0,0,8,8,8,15.29,0
379,379,0,7,7,7,12.29,0,0,7,8,6,13.33,0
380,380,2,6,16,5,12.67,0,1,6,15,2,13.50,0
381,381,0,7,13,5,12.74,0,0,8,12,6,10.98,0
382,382,0,7,8,6,13.25,0,0,8,8,8,13.75,0
383,383,0,6,13,3,10.33,0,0,6,12,3,10.33,0
384,384,0,6,7,6,13.43,0,0,6,6,6,13.17,0
385,385,6,11,19,9,12.56,0,3,9,14,8,11.11,0
386,386,0,6,8,6,11.50,0,0,6,7,6,11.17,0
387,387,0,6,6,6,13.67,0,0,6,9,6,12.33,0
388,388,10,14,16,11,11.27,0,6,11,16,10,12,0
389,389,0,6,10,5,13.17,0,0,6,8,5,12.40,0
390,390,3,6,6,6,14.67,0,2,6,6,6,14.17,0
391,391,0,6,11,4,12.75,0,0,6,19,1,11,0
392,392,0,7,11,5,11.20,0,0,8,13,5,12.14,0
393,393,0,6,8,5,13,0,0,6,8,5,11.40,0
394,394,0,5,8,2,10.50,0,0,5,8,2,12.33,0
395,395,0,6,7,6,14.86,0,0,6,7,6,14,0
396,396,0,8,11,7,12.86,0,0,8,11,7,12.86,0
397,397,5,11,12,11,11.73,0,5,11,14,11,12,0
398,398,3,6,11,6,13.14,0,2,6,10,3,12,0
399,399,0,6,6,5,11.80,0,0,6,9,4,13.71,0
400,400,0,5,10,3,10.67,0,0,5,9,0,0,3
401,401,0,6,9,5,11.60,0,0,6,8,4,11.20,0
402,402,0,6,13,3,10.33,0,0,6,12,3,10.33,0
403,403,0,6,11,4,12.25,0,0,6,11,3,11,0
404,404,0,6,6,6,12,0,0,6,7,4,12.75,0
405,405,0,8,8,7,14.73,0,0,8,8,7,14.73,0
406,406,0,0,0,0,0,0,0,0,0,0,0,0
407,407,9,13,14,13,13.62,1,6,12,12,12,14.25,0
408,408,0,5,5,5,15.80,0,0,5,5,5,14.80,0
409,409,0,6,6,6,14.67,0,0,6,7,6,14.57,0
410,410,0,5,5,0,0,0,0,5,5,0,0,0
411,411,0,8,8,7,14.65,0,0,8,8,7,14.65,0
412,412,0,8,8,7,12.40,0,0,8,8,7,12.40,0
413,413,0,7,8,7,11.59,0,0,8,9,7,14.07,0
414,414,3,5,5,5,14,0,1,5,5,5,15.60,0
415,415,0,6,9,6,12.33,0,0,6,6,6,11.83,0
416,416,0,5,5,5,14,0,0,5,6,5,15.40,0
417,417,0,6,13,6,15.23,0,0,6,10,6,12.38,0
418,418,0,6,9,5,11.60,0,0,6,9,3,11,0
419,419,0,7,7,6,11.60,0,0,7,7,6,11.60,0
420,420,0,7,0,0,0,0,0,8,0,0,0,0
421,421,0,7,7,7,12.90,0,0,8,9,8,13.09,0
422,422,4,7,9,7,14.14,0,1,5,5,5,14.80,0
423,423,0,6,0,0,0,0,0,6,0,0,0,0
424,424,0,8,8,8,13.25,0,0,8,8,8,13.25,0
425,425,0,7,7,7,13.79,0,0,8,8,8,14.10,0
426,426,0,7,7,6,13.92,0,0,7,7,6,13.92,0
427,427,0,6,8,6,13.50,0,0,6,9,6,13.57,0
428,428,0,5,8,3,11.33,0,0,5,12,2,10.67,0
429,429,0,5,8,0,0,4,0,5,12,0,0,4
430,430,0,6,10,5,11.50,0,0,6,9,4,14.60,0
431,431,0,8,8,7,12.08,0,0,8,8,7,12.08,0
432,432,0,6,8,6,11.83,0,0,6,10,5,12.80,0
433,433,0,5,6,5,13.40,0,0,5,5,5,12.40,0
434,434,0,7,7,0,0,2,0,7,7,0,0,2
435,435,0,6,7,5,14.20,0,0,6,7,6,14.57,0
436,436,0,8,8,7,13.81,0,0,8,8,7,13.81,0
437,437,0,6,10,4,11.25,0,0,6,6,6,10.50,0
438,438,0,6,6,6,14.50,0,0,6,8,6,13.67,0
439,439,0,6,0,0,0,0,0,6,0,0,0,0
440,440,0,7,7,6,11.30,0,0,7,7,6,11.30,0
441,441,0,2,2,0,0,0,0,4,4,1,16,0
