ParentDetailID;ParentID;Mother's qualification;Father's qualification;Mother's occupation;Father's occupation
88.00;88.00;19.00;38.00;4.00;.00
89.00;89.00;38.00;37.00;9.00;9.00
90.00;90.00;38.00;19.00;9.00;6.00
91.00;91.00;1.00;1.00;4.00;10.00
92.00;92.00;19.00;1.00;9.00;9.00
93.00;93.00;1.00;1.00;4.00;4.00
94.00;94.00;37.00;34.00;.00;.00
95.00;95.00;37.00;19.00;9.00;9.00
96.00;96.00;38.00;3.00;9.00;2.00
97.00;97.00;37.00;1.00;5.00;5.00
98.00;98.00;37.00;37.00;7.00;7.00
99.00;99.00;1.00;2.00;9.00;1.00
100.00;100.00;3.00;3.00;2.00;2.00
101.00;101.00;38.00;38.00;9.00;9.00
102.00;102.00;1.00;1.00;9.00;10.00
103.00;103.00;37.00;37.00;6.00;5.00
104.00;104.00;37.00;37.00;9.00;6.00
105.00;105.00;19.00;19.00;9.00;7.00
106.00;106.00;3.00;1.00;2.00;8.00
107.00;107.00;37.00;38.00;4.00;7.00
108.00;108.00;1.00;1.00;4.00;4.00
109.00;109.00;3.00;4.00;4.00;3.00
110.00;110.00;19.00;1.00;9.00;3.00
111.00;111.00;37.00;37.00;6.00;7.00
112.00;112.00;1.00;38.00;4.00;7.00
113.00;113.00;19.00;19.00;9.00;9.00
114.00;114.00;1.00;38.00;4.00;7.00
115.00;115.00;37.00;37.00;9.00;9.00
116.00;116.00;38.00;38.00;9.00;5.00
117.00;117.00;19.00;37.00;9.00;7.00
118.00;118.00;19.00;19.00;3.00;3.00
119.00;119.00;37.00;38.00;9.00;7.00
120.00;120.00;2.00;19.00;4.00;5.00
121.00;121.00;1.00;1.00;4.00;5.00
122.00;122.00;19.00;19.00;9.00;7.00
123.00;123.00;3.00;19.00;2.00;9.00
124.00;124.00;38.00;38.00;9.00;9.00
125.00;125.00;19.00;38.00;4.00;7.00
126.00;126.00;1.00;1.00;4.00;5.00
127.00;127.00;37.00;37.00;9.00;9.00
128.00;128.00;19.00;38.00;9.00;3.00
129.00;129.00;1.00;39.00;5.00;3.00
130.00;130.00;1.00;37.00;8.00;9.00
131.00;131.00;19.00;19.00;5.00;8.00
132.00;132.00;37.00;37.00;9.00;9.00
133.00;133.00;1.00;19.00;4.00;8.00
134.00;134.00;1.00;19.00;3.00;3.00
135.00;135.00;38.00;37.00;9.00;7.00
136.00;136.00;1.00;38.00;3.00;9.00
137.00;137.00;19.00;19.00;5.00;5.00
138.00;138.00;1.00;1.00;141.00;175.00
139.00;139.00;19.00;1.00;4.00;7.00
140.00;140.00;19.00;1.00;4.00;8.00
141.00;141.00;37.00;37.00;9.00;9.00
142.00;142.00;19.00;1.00;4.00;4.00
143.00;143.00;3.00;1.00;3.00;3.00
144.00;144.00;1.00;12.00;9.00;10.00
145.00;145.00;19.00;19.00;9.00;7.00
146.00;146.00;37.00;38.00;5.00;6.00
147.00;147.00;12.00;19.00;9.00;9.00
148.00;148.00;1.00;37.00;9.00;10.00
149.00;149.00;3.00;19.00;2.00;10.00
150.00;150.00;1.00;19.00;9.00;9.00
151.00;151.00;3.00;37.00;2.00;8.00
152.00;152.00;1.00;38.00;4.00;7.00
153.00;153.00;38.00;38.00;7.00;6.00
154.00;154.00;37.00;37.00;9.00;9.00
155.00;155.00;3.00;37.00;2.00;5.00
156.00;156.00;38.00;37.00;6.00;6.00
157.00;157.00;38.00;38.00;9.00;9.00
158.00;158.00;1.00;37.00;7.00;9.00
159.00;159.00;19.00;1.00;9.00;10.00
160.00;160.00;1.00;19.00;6.00;8.00
161.00;161.00;19.00;1.00;4.00;1.00
162.00;162.00;19.00;37.00;9.00;7.00
163.00;163.00;19.00;19.00;9.00;9.00
164.00;164.00;12.00;12.00;4.00;4.00
165.00;165.00;1.00;19.00;5.00;4.00
166.00;166.00;19.00;37.00;7.00;7.00
167.00;167.00;1.00;37.00;6.00;6.00
168.00;168.00;19.00;19.00;7.00;8.00
169.00;169.00;2.00;2.00;1.00;1.00
170.00;170.00;19.00;19.00;4.00;8.00
171.00;171.00;37.00;19.00;9.00;7.00
172.00;172.00;37.00;37.00;3.00;10.00
173.00;173.00;2.00;38.00;4.00;5.00
174.00;174.00;19.00;2.00;4.00;6.00
175.00;175.00;37.00;37.00;9.00;8.00
176.00;176.00;37.00;37.00;9.00;9.00
177.00;177.00;37.00;19.00;9.00;5.00
178.00;178.00;34.00;34.00;90.00;90.00
179.00;179.00;37.00;19.00;9.00;5.00
180.00;180.00;1.00;1.00;9.00;5.00
181.00;181.00;3.00;1.00;3.00;3.00
182.00;182.00;37.00;19.00;9.00;8.00
183.00;183.00;19.00;19.00;3.00;4.00
184.00;184.00;1.00;37.00;5.00;5.00
185.00;185.00;1.00;19.00;4.00;6.00
186.00;186.00;3.00;3.00;5.00;7.00
187.00;187.00;1.00;37.00;5.00;9.00
188.00;188.00;38.00;1.00;9.00;4.00
189.00;189.00;1.00;19.00;9.00;9.00
190.00;190.00;1.00;3.00;4.00;1.00
191.00;191.00;19.00;38.00;9.00;8.00
192.00;192.00;1.00;37.00;7.00;3.00
193.00;193.00;12.00;3.00;4.00;3.00
194.00;194.00;1.00;1.00;4.00;10.00
195.00;195.00;38.00;38.00;9.00;8.00
196.00;196.00;19.00;1.00;3.00;4.00
197.00;197.00;37.00;37.00;5.00;5.00
198.00;198.00;3.00;2.00;2.00;2.00
199.00;199.00;19.00;19.00;3.00;8.00
200.00;200.00;1.00;3.00;175.00;121.00
201.00;201.00;1.00;1.00;4.00;7.00
202.00;202.00;19.00;19.00;4.00;.00
203.00;203.00;19.00;19.00;7.00;7.00
204.00;204.00;38.00;38.00;5.00;10.00
205.00;205.00;19.00;37.00;9.00;8.00
206.00;206.00;34.00;34.00;.00;.00
207.00;207.00;19.00;38.00;9.00;9.00
208.00;208.00;3.00;19.00;1.00;4.00
209.00;209.00;19.00;1.00;8.00;7.00
210.00;210.00;3.00;19.00;2.00;3.00
211.00;211.00;38.00;1.00;7.00;4.00
212.00;212.00;37.00;37.00;9.00;9.00
213.00;213.00;1.00;3.00;9.00;2.00
214.00;214.00;37.00;37.00;9.00;9.00
215.00;215.00;1.00;1.00;4.00;5.00
216.00;216.00;1.00;1.00;4.00;5.00
217.00;217.00;19.00;3.00;5.00;5.00
218.00;218.00;19.00;37.00;8.00;7.00
219.00;219.00;1.00;19.00;5.00;4.00
220.00;220.00;19.00;37.00;1.00;3.00
221.00;221.00;38.00;38.00;7.00;7.00
222.00;222.00;37.00;37.00;5.00;7.00
223.00;223.00;1.00;1.00;3.00;3.00
224.00;224.00;19.00;1.00;5.00;9.00
225.00;225.00;1.00;38.00;4.00;5.00
226.00;226.00;40.00;5.00;3.00;3.00
227.00;227.00;1.00;4.00;3.00;10.00
228.00;228.00;1.00;1.00;9.00;9.00
229.00;229.00;34.00;34.00;.00;.00
230.00;230.00;1.00;1.00;5.00;8.00
231.00;231.00;1.00;37.00;4.00;5.00
232.00;232.00;19.00;19.00;4.00;6.00
233.00;233.00;1.00;3.00;4.00;3.00
234.00;234.00;1.00;37.00;9.00;9.00
235.00;235.00;37.00;1.00;9.00;10.00
236.00;236.00;38.00;37.00;9.00;9.00
237.00;237.00;19.00;19.00;5.00;7.00
238.00;238.00;37.00;37.00;3.00;9.00
239.00;239.00;19.00;1.00;9.00;9.00
240.00;240.00;19.00;19.00;9.00;7.00
241.00;241.00;3.00;1.00;4.00;4.00
242.00;242.00;3.00;3.00;3.00;3.00
243.00;243.00;37.00;19.00;5.00;5.00
244.00;244.00;37.00;1.00;9.00;1.00
245.00;245.00;38.00;19.00;9.00;10.00
246.00;246.00;19.00;38.00;5.00;3.00
247.00;247.00;19.00;37.00;7.00;6.00
248.00;248.00;37.00;37.00;9.00;10.00
249.00;249.00;19.00;37.00;4.00;7.00
250.00;250.00;19.00;1.00;9.00;8.00
251.00;251.00;19.00;38.00;9.00;9.00
252.00;252.00;38.00;37.00;7.00;7.00
253.00;253.00;9.00;19.00;90.00;6.00
254.00;254.00;37.00;37.00;9.00;8.00
255.00;255.00;1.00;1.00;4.00;4.00
256.00;256.00;38.00;37.00;7.00;7.00
257.00;257.00;37.00;37.00;6.00;6.00
258.00;258.00;37.00;37.00;9.00;9.00
259.00;259.00;1.00;1.00;9.00;8.00
260.00;260.00;1.00;1.00;3.00;1.00
261.00;261.00;37.00;38.00;9.00;7.00
262.00;262.00;37.00;37.00;99.00;99.00
263.00;263.00;37.00;38.00;9.00;9.00
264.00;264.00;1.00;1.00;4.00;4.00
265.00;265.00;38.00;19.00;9.00;5.00
266.00;266.00;3.00;1.00;1.00;3.00
267.00;267.00;4.00;1.00;2.00;3.00
268.00;268.00;38.00;38.00;9.00;9.00
269.00;269.00;37.00;37.00;9.00;9.00
270.00;270.00;1.00;1.00;9.00;9.00
271.00;271.00;37.00;38.00;4.00;8.00
272.00;272.00;1.00;19.00;9.00;9.00
273.00;273.00;12.00;19.00;4.00;8.00
274.00;274.00;5.00;1.00;2.00;5.00
275.00;275.00;1.00;38.00;4.00;5.00
276.00;276.00;12.00;1.00;4.00;10.00
277.00;277.00;37.00;38.00;3.00;3.00
278.00;278.00;5.00;4.00;2.00;.00
279.00;279.00;19.00;19.00;5.00;6.00
280.00;280.00;19.00;19.00;5.00;5.00
281.00;281.00;38.00;37.00;9.00;9.00
282.00;282.00;39.00;19.00;4.00;10.00
283.00;283.00;37.00;37.00;8.00;4.00
284.00;284.00;19.00;37.00;7.00;5.00
285.00;285.00;38.00;38.00;.00;.00
286.00;286.00;1.00;1.00;4.00;4.00
287.00;287.00;4.00;37.00;2.00;9.00
288.00;288.00;34.00;1.00;90.00;2.00
289.00;289.00;3.00;1.00;3.00;4.00
290.00;290.00;3.00;3.00;1.00;1.00
291.00;291.00;19.00;19.00;4.00;10.00
292.00;292.00;19.00;37.00;6.00;6.00
293.00;293.00;37.00;37.00;9.00;4.00
294.00;294.00;19.00;19.00;191.00;144.00
295.00;295.00;38.00;37.00;3.00;6.00
296.00;296.00;3.00;38.00;2.00;4.00
297.00;297.00;19.00;38.00;9.00;8.00
298.00;298.00;1.00;1.00;3.00;3.00
299.00;299.00;1.00;1.00;4.00;10.00
300.00;300.00;19.00;38.00;5.00;7.00
301.00;301.00;38.00;38.00;9.00;7.00
302.00;302.00;38.00;37.00;9.00;9.00
303.00;303.00;19.00;19.00;4.00;9.00
304.00;304.00;19.00;19.00;5.00;5.00
305.00;305.00;1.00;11.00;4.00;3.00
306.00;306.00;1.00;19.00;4.00;10.00
307.00;307.00;1.00;19.00;5.00;5.00
308.00;308.00;3.00;1.00;90.00;90.00
309.00;309.00;11.00;11.00;90.00;90.00
310.00;310.00;37.00;37.00;7.00;8.00
311.00;311.00;3.00;19.00;2.00;1.00
312.00;312.00;34.00;34.00;.00;.00
313.00;313.00;19.00;19.00;4.00;8.00
314.00;314.00;38.00;38.00;5.00;7.00
315.00;315.00;1.00;1.00;4.00;4.00
316.00;316.00;1.00;38.00;4.00;3.00
317.00;317.00;19.00;19.00;3.00;6.00
318.00;318.00;41.00;19.00;3.00;5.00
319.00;319.00;19.00;38.00;5.00;9.00
320.00;320.00;38.00;38.00;7.00;7.00
321.00;321.00;19.00;19.00;9.00;5.00
322.00;322.00;37.00;37.00;7.00;9.00
323.00;323.00;1.00;1.00;5.00;1.00
324.00;324.00;37.00;37.00;9.00;9.00
325.00;325.00;1.00;19.00;7.00;5.00
326.00;326.00;19.00;19.00;5.00;8.00
327.00;327.00;1.00;37.00;9.00;9.00
328.00;328.00;1.00;1.00;9.00;6.00
329.00;329.00;2.00;19.00;4.00;4.00
330.00;330.00;19.00;38.00;9.00;5.00
331.00;331.00;1.00;38.00;9.00;6.00
332.00;332.00;19.00;37.00;4.00;7.00
333.00;333.00;38.00;38.00;7.00;7.00
334.00;334.00;37.00;38.00;9.00;10.00
335.00;335.00;34.00;37.00;4.00;9.00
336.00;336.00;38.00;37.00;7.00;7.00
337.00;337.00;41.00;3.00;2.00;1.00
338.00;338.00;38.00;38.00;7.00;7.00
339.00;339.00;3.00;1.00;9.00;10.00
340.00;340.00;2.00;9.00;3.00;5.00
341.00;341.00;1.00;2.00;3.00;1.00
342.00;342.00;3.00;3.00;2.00;2.00
343.00;343.00;37.00;37.00;9.00;9.00
344.00;344.00;3.00;3.00;1.00;2.00
345.00;345.00;37.00;38.00;9.00;1.00
346.00;346.00;19.00;19.00;7.00;5.00
347.00;347.00;37.00;37.00;9.00;9.00
348.00;348.00;37.00;37.00;6.00;6.00
349.00;349.00;37.00;37.00;9.00;9.00
350.00;350.00;3.00;1.00;3.00;9.00
351.00;351.00;19.00;19.00;9.00;9.00
352.00;352.00;19.00;19.00;9.00;8.00
353.00;353.00;1.00;1.00;9.00;5.00
354.00;354.00;37.00;38.00;9.00;7.00
355.00;355.00;19.00;19.00;4.00;6.00
356.00;356.00;19.00;1.00;4.00;5.00
357.00;357.00;38.00;37.00;9.00;9.00
358.00;358.00;37.00;37.00;90.00;8.00
359.00;359.00;37.00;37.00;3.00;8.00
360.00;360.00;3.00;39.00;2.00;3.00
361.00;361.00;19.00;38.00;4.00;1.00
362.00;362.00;37.00;38.00;9.00;7.00
363.00;363.00;19.00;38.00;9.00;10.00
364.00;364.00;19.00;37.00;9.00;8.00
365.00;365.00;1.00;1.00;9.00;1.00
366.00;366.00;37.00;38.00;7.00;5.00
367.00;367.00;19.00;38.00;4.00;8.00
368.00;368.00;19.00;37.00;2.00;7.00
369.00;369.00;38.00;37.00;191.00;195.00
370.00;370.00;19.00;19.00;9.00;5.00
371.00;371.00;37.00;39.00;9.00;4.00
372.00;372.00;38.00;19.00;9.00;7.00
373.00;373.00;1.00;19.00;4.00;7.00
374.00;374.00;1.00;37.00;141.00;192.00
375.00;375.00;38.00;38.00;4.00;7.00
376.00;376.00;37.00;37.00;9.00;9.00
377.00;377.00;37.00;37.00;9.00;9.00
378.00;378.00;1.00;1.00;4.00;4.00
379.00;379.00;3.00;3.00;3.00;3.00
380.00;380.00;37.00;38.00;5.00;6.00
381.00;381.00;38.00;19.00;5.00;7.00
382.00;382.00;19.00;37.00;8.00;8.00
383.00;383.00;38.00;38.00;5.00;7.00
384.00;384.00;19.00;19.00;5.00;5.00
385.00;385.00;3.00;4.00;2.00;1.00
386.00;386.00;34.00;34.00;.00;.00
387.00;387.00;37.00;37.00;9.00;9.00
388.00;388.00;37.00;37.00;9.00;9.00
389.00;389.00;1.00;19.00;4.00;5.00
390.00;390.00;37.00;37.00;7.00;7.00
391.00;391.00;4.00;38.00;4.00;5.00
392.00;392.00;1.00;19.00;5.00;3.00
393.00;393.00;30.00;37.00;7.00;7.00
394.00;394.00;1.00;1.00;9.00;10.00
395.00;395.00;1.00;19.00;4.00;3.00
396.00;396.00;1.00;1.00;4.00;9.00
397.00;397.00;3.00;19.00;3.00;10.00
398.00;398.00;38.00;37.00;4.00;6.00
399.00;399.00;37.00;19.00;5.00;8.00
400.00;400.00;38.00;37.00;6.00;4.00
401.00;401.00;1.00;3.00;3.00;3.00
402.00;402.00;37.00;37.00;7.00;7.00
403.00;403.00;38.00;37.00;9.00;9.00
404.00;404.00;19.00;38.00;9.00;9.00
405.00;405.00;37.00;37.00;5.00;5.00
406.00;406.00;1.00;19.00;3.00;9.00
407.00;407.00;1.00;19.00;3.00;9.00
408.00;408.00;1.00;19.00;9.00;9.00
409.00;409.00;1.00;19.00;4.00;4.00
410.00;410.00;34.00;34.00;.00;.00
411.00;411.00;19.00;19.00;7.00;7.00
412.00;412.00;19.00;1.00;4.00;8.00
413.00;413.00;1.00;1.00;4.00;10.00
414.00;414.00;37.00;37.00;6.00;6.00
415.00;415.00;1.00;38.00;9.00;7.00
416.00;416.00;37.00;37.00;90.00;90.00
417.00;417.00;1.00;1.00;9.00;9.00
418.00;418.00;19.00;19.00;9.00;9.00
419.00;419.00;37.00;37.00;9.00;9.00
420.00;420.00;1.00;19.00;4.00;5.00
421.00;421.00;2.00;1.00;2.00;8.00
422.00;422.00;1.00;2.00;4.00;3.00
423.00;423.00;1.00;2.00;4.00;6.00
424.00;424.00;3.00;1.00;3.00;3.00
425.00;425.00;19.00;2.00;5.00;3.00
426.00;426.00;37.00;37.00;9.00;3.00
427.00;427.00;38.00;38.00;3.00;7.00
428.00;428.00;38.00;2.00;9.00;2.00
429.00;429.00;19.00;1.00;4.00;4.00
430.00;430.00;19.00;38.00;4.00;10.00
431.00;431.00;37.00;38.00;9.00;9.00
432.00;432.00;37.00;37.00;7.00;8.00
433.00;433.00;38.00;38.00;6.00;8.00
434.00;434.00;1.00;1.00;90.00;3.00
435.00;435.00;1.00;19.00;4.00;8.00
436.00;436.00;19.00;19.00;5.00;5.00
437.00;437.00;19.00;19.00;5.00;5.00
438.00;438.00;19.00;37.00;4.00;5.00
439.00;439.00;9.00;1.00;2.00;4.00
440.00;440.00;37.00;37.00;9.00;9.00
441.00;441.00;3.00;4.00;3.00;2.00
442.00;442.00;19.00;38.00;4.00;5.00
443.00;443.00;19.00;38.00;9.00;3.00
444.00;444.00;19.00;19.00;7.00;8.00
445.00;445.00;19.00;19.00;1.00;1.00
446.00;446.00;37.00;19.00;9.00;3.00
447.00;447.00;3.00;1.00;2.00;1.00
448.00;448.00;1.00;19.00;7.00;7.00
449.00;449.00;1.00;19.00;9.00;7.00
450.00;450.00;19.00;38.00;3.00;10.00
451.00;451.00;38.00;37.00;5.00;5.00
452.00;452.00;37.00;37.00;9.00;8.00
453.00;453.00;19.00;19.00;7.00;5.00
454.00;454.00;19.00;37.00;4.00;7.00
455.00;455.00;19.00;38.00;9.00;7.00
456.00;456.00;34.00;34.00;99.00;99.00
457.00;457.00;38.00;37.00;5.00;6.00
458.00;458.00;37.00;19.00;9.00;8.00
459.00;459.00;1.00;19.00;4.00;9.00
460.00;460.00;37.00;37.00;5.00;7.00
461.00;461.00;3.00;3.00;3.00;2.00
462.00;462.00;19.00;19.00;5.00;7.00
463.00;463.00;3.00;1.00;2.00;3.00
464.00;464.00;3.00;1.00;3.00;5.00
465.00;465.00;1.00;1.00;4.00;9.00
466.00;466.00;3.00;3.00;2.00;3.00
467.00;467.00;1.00;38.00;5.00;10.00
468.00;468.00;34.00;34.00;.00;.00
469.00;469.00;19.00;38.00;4.00;8.00
470.00;470.00;37.00;37.00;4.00;9.00
471.00;471.00;1.00;37.00;9.00;9.00
472.00;472.00;19.00;38.00;9.00;7.00
473.00;473.00;38.00;19.00;7.00;10.00
474.00;474.00;19.00;19.00;9.00;9.00
475.00;475.00;34.00;34.00;.00;.00
476.00;476.00;1.00;19.00;3.00;5.00
477.00;477.00;19.00;19.00;9.00;9.00
478.00;478.00;34.00;34.00;.00;.00
479.00;479.00;3.00;1.00;3.00;3.00
480.00;480.00;38.00;19.00;191.00;175.00
481.00;481.00;1.00;1.00;4.00;4.00
482.00;482.00;1.00;19.00;1.00;1.00
483.00;483.00;3.00;1.00;2.00;5.00
484.00;484.00;38.00;38.00;9.00;7.00
485.00;485.00;1.00;19.00;9.00;5.00
486.00;486.00;1.00;37.00;7.00;9.00
487.00;487.00;38.00;19.00;4.00;3.00
488.00;488.00;1.00;19.00;5.00;4.00
489.00;489.00;37.00;37.00;9.00;7.00
490.00;490.00;38.00;38.00;5.00;5.00
491.00;491.00;19.00;1.00;3.00;8.00
492.00;492.00;37.00;37.00;5.00;5.00
493.00;493.00;1.00;3.00;3.00;2.00
494.00;494.00;37.00;37.00;9.00;4.00
495.00;495.00;3.00;1.00;2.00;5.00
496.00;496.00;19.00;37.00;90.00;5.00
497.00;497.00;37.00;38.00;9.00;9.00
498.00;498.00;1.00;19.00;4.00;3.00
499.00;499.00;19.00;38.00;9.00;7.00
500.00;500.00;38.00;38.00;7.00;7.00
501.00;501.00;37.00;38.00;9.00;9.00
502.00;502.00;38.00;38.00;9.00;9.00
503.00;503.00;1.00;1.00;4.00;4.00
504.00;504.00;3.00;3.00;1.00;1.00
505.00;505.00;37.00;1.00;7.00;7.00
506.00;506.00;37.00;38.00;151.00;161.00
507.00;507.00;3.00;1.00;2.00;4.00
508.00;508.00;19.00;1.00;9.00;3.00
509.00;509.00;5.00;5.00;2.00;2.00
510.00;510.00;1.00;19.00;4.00;6.00
511.00;511.00;4.00;1.00;2.00;3.00
512.00;512.00;34.00;34.00;99.00;99.00
513.00;513.00;34.00;34.00;.00;.00
514.00;514.00;37.00;19.00;9.00;2.00
515.00;515.00;37.00;37.00;9.00;10.00
516.00;516.00;37.00;37.00;9.00;10.00
517.00;517.00;37.00;19.00;9.00;4.00
518.00;518.00;1.00;1.00;9.00;4.00
519.00;519.00;34.00;34.00;.00;.00
520.00;520.00;37.00;37.00;9.00;9.00
521.00;521.00;37.00;1.00;5.00;5.00
522.00;522.00;3.00;19.00;2.00;9.00
523.00;523.00;3.00;37.00;2.00;8.00
524.00;524.00;1.00;1.00;9.00;9.00
525.00;525.00;5.00;3.00;1.00;1.00
526.00;526.00;1.00;1.00;9.00;3.00
527.00;527.00;19.00;19.00;5.00;3.00
528.00;528.00;3.00;1.00;2.00;10.00
529.00;529.00;37.00;37.00;9.00;9.00
530.00;530.00;3.00;3.00;2.00;2.00
531.00;531.00;37.00;37.00;4.00;7.00
532.00;532.00;19.00;37.00;9.00;8.00
533.00;533.00;4.00;2.00;2.00;3.00
534.00;534.00;1.00;19.00;4.00;7.00
535.00;535.00;4.00;4.00;2.00;2.00
536.00;536.00;3.00;3.00;4.00;4.00
537.00;537.00;3.00;3.00;4.00;4.00
538.00;538.00;3.00;19.00;4.00;4.00
539.00;539.00;19.00;38.00;3.00;9.00
540.00;540.00;19.00;1.00;9.00;9.00
541.00;541.00;19.00;19.00;5.00;5.00
542.00;542.00;19.00;19.00;5.00;7.00
543.00;543.00;1.00;19.00;4.00;10.00
544.00;544.00;1.00;1.00;5.00;3.00
545.00;545.00;19.00;1.00;9.00;10.00
546.00;546.00;19.00;1.00;5.00;10.00
547.00;547.00;1.00;1.00;5.00;10.00
548.00;548.00;38.00;19.00;5.00;6.00
549.00;549.00;37.00;37.00;9.00;9.00
550.00;550.00;19.00;38.00;9.00;7.00
551.00;551.00;12.00;19.00;4.00;5.00
552.00;552.00;19.00;1.00;7.00;9.00
553.00;553.00;12.00;12.00;1.00;10.00
554.00;554.00;1.00;2.00;3.00;2.00
555.00;555.00;1.00;1.00;4.00;4.00
556.00;556.00;3.00;2.00;2.00;2.00
557.00;557.00;19.00;1.00;7.00;4.00
558.00;558.00;37.00;37.00;9.00;9.00
559.00;559.00;39.00;39.00;194.00;193.00
560.00;560.00;1.00;3.00;9.00;10.00
561.00;561.00;3.00;38.00;141.00;151.00
562.00;562.00;1.00;1.00;3.00;3.00
563.00;563.00;1.00;1.00;4.00;10.00
564.00;564.00;19.00;38.00;9.00;9.00
565.00;565.00;1.00;1.00;9.00;9.00
566.00;566.00;19.00;19.00;3.00;9.00
567.00;567.00;4.00;1.00;2.00;4.00
568.00;568.00;34.00;36.00;.00;5.00
569.00;569.00;38.00;19.00;8.00;8.00
570.00;570.00;3.00;4.00;2.00;2.00
571.00;571.00;1.00;1.00;9.00;9.00
572.00;572.00;38.00;37.00;9.00;9.00
573.00;573.00;19.00;3.00;5.00;10.00
574.00;574.00;3.00;19.00;4.00;5.00
575.00;575.00;19.00;12.00;9.00;10.00
576.00;576.00;1.00;1.00;4.00;4.00
577.00;577.00;3.00;1.00;9.00;9.00
578.00;578.00;19.00;37.00;9.00;8.00
579.00;579.00;37.00;37.00;5.00;5.00
580.00;580.00;37.00;37.00;9.00;8.00
581.00;581.00;34.00;5.00;.00;1.00
